OBJECTID,FULLADDRESS,BuildingName,Square,Lot,Date,MapYear,Permit_Notes,NOTES,Suffix,EDITTYPE,House_Key,House_Type,Extant,Updated,Facade,Flag,Contributing,ArchitectGroup,Developer,Quantity,Rooms,Width,Depth,Number_of_Families,Store,Stories,Permits_Last_Editor,Permits_Last_Edit_Date,RazedFlag,PermitsSource,PermitNumber,Owner,Architect,Builder,Material,Purpose,EstimatedCost,MicrofilmRoll,PermitType,SolidFilled,FoundationMaterial,StoneType,RoofType,FrontMaterial,RoofMaterial,Heat,Shape__Area,Shape__Length
4698,4000 NEBRASKA AVENUE NW,,1640,809,11/16/1925 12:00:00 AM,1925,,does any of this remain?,,,8638.0,Detached,1.0,1.0,building,0.0,,"Heaton, Arthur B.","Flather, Wm. J., Jr.",1.0,0.0,69.0,35.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,4498,"Flather, Wm. J., Jr.","Heaton, Arthur B.",Bolling & Clark,stone,dwelling,50000.0,318,,solid,stone & concrete,rubble,pitch,stucco,slate,steam,5296.35546875,556.309089859046
4699,3906 YUMA STREET NW,,1780,809,1/29/1923 12:00:00 AM,1923,,,,,15563.0,Detached,1.0,1.0,building,0.0,,"Sonnemann, A. H. / & Justement","Kite, Harry A./Inc.",2.0,0.0,24.0,26.0,1.0,0.0,2.0,BKRAFT,12/21/2015 9:52:52 PM,0.0,DC Historical Building Permits Database,6610,"Kite, Harry A.","Sonnemann, A. H.","Kite, Harry A.",frame,dwelling,15000.0,235,,solid,stone,,pitch,frame,slate,hot water,245.36328125,77.0418683210071
4700,3904 YUMA STREET NW,,1780,810,1/29/1923 12:00:00 AM,1923,,,,,15562.0,Detached,1.0,1.0,building,0.0,,"Sonnemann, A. H. / & Justement","Kite, Harry A./Inc.",2.0,0.0,24.0,26.0,1.0,0.0,2.0,BKRAFT,12/21/2015 9:52:52 PM,0.0,DC Historical Building Permits Database,6610,"Kite, Harry A.","Sonnemann, A. H.","Kite, Harry A.",frame,dwelling,15000.0,235,,solid,stone,,pitch,frame,slate,hot water,192.8125,59.0439647117424
4708,5358 42ND PLACE NW,,1664,131,1/17/1987 12:00:00 AM,1987,,,,,,,,,,,,,,,,,,,,,JSINKER,7/5/2016 11:59:00 AM,0.0,,, ,, ,,,,,,,,,,,,,178.828125,59.3124125301571
4713,5103 BELT ROAD NW,,1755,43,,1992,,,,,,,,,,,,,,,,,,,,,BKRAFT,9/28/2016 7:53:04 PM,0.0,DC Office of Tax & Revenue,, ,, ,,,,,,,,,,,,,247.06640625,64.9558354001632
4714,518 T STREET NW,,3093,37,6/7/1889 12:00:00 AM,1889,"16'8""w",,,,90271.0,Rowhouse,1.0,1.0,building,0.0,Yes,,"Coulter, W. A.",3.0,0.0,17.0,32.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,2210,"Coulter, W. A.",,Davis & Johnson,brick,dwelling,7700.0,127,,,brick,,pitch,brick,tin,,95.30859375,42.6224628033966
4715,520 T STREET NW,,3093,36,6/7/1889 12:00:00 AM,1889,"16'8""w",,,,90272.0,Rowhouse,1.0,1.0,building,0.0,Yes,,"Coulter, W. A.",3.0,0.0,17.0,32.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,2210,"Coulter, W. A.",,Davis & Johnson,brick,dwelling,7700.0,127,,,brick,,pitch,brick,tin,,84.61328125,41.0857505295026
4716,516 T STREET NW,,3093,38,6/7/1889 12:00:00 AM,1889,"16'8""w",,,,90270.0,Rowhouse,1.0,1.0,building,0.0,Yes,,"Coulter, W. A.",3.0,0.0,17.0,32.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,2210,"Coulter, W. A.",,Davis & Johnson,brick,dwelling,7700.0,127,,,brick,,pitch,brick,tin,,106.82421875,47.7842239853628
4717,447 R STREET NW,,508,69,,2007,,,,,,,,,,,,,,,,,,,,,BKRAFT,9/28/2016 7:52:47 PM,0.0,DC Office of Tax & Revenue,, ,, ,,,,,,,,,,,,,539.0,101.23157103377
4726,1452 EUCLID STREET NW,,2664,21,10/24/1892 12:00:00 AM,1892,,,,,80607.0,Rowhouse,1.0,1.0,building,0.0,,"Germuiller, J.","Lawson, A. M.",7.0,0.0,18.0,40.0,1.0,0.0,3.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,977,"Lawson, A. M.","Germuiller, J.","Lawson, A. M.",brick,dwelling,28000.0,169,,solid,brick,Indiana limestone,flat,"pressed brick, stone",tin,furnace,125.28125,51.5552121123619
